State,Income,Margin Of Error
Alabama,"$50,536.00",+/- $304
Alaska,"$77,640.00","+/- $1,015"
Arizona,"$58,945.00",+/- $266
Arkansas,"$47,597.00",+/- $328
California,"$75,235.00",+/- $232
Colorado,"$72,331.00",+/- $370
Connecticut,"$78,444.00",+/- $553
Delaware,"$68,287.00",+/- $696
District of Columbia,"$86,420.00","+/- $1,008"
Florida,"$55,660.00",+/- $220
Georgia,"$58,700.00",+/- $294
Hawaii,"$81,275.00",+/- $780
Idaho,"$55,785.00",+/- $539
Illinois,"$65,886.00",+/- $283
Indiana,"$56,303.00",+/- $271
Iowa,"$60,523.00",+/- $321
Kansas,"$59,597.00",+/- $337
Kentucky,"$50,589.00",+/- $294
Louisiana,"$49,469.00",+/- $392
Maine,"$57,918.00",+/- $496
Maryland,"$84,805.00",+/- $465
Massachusetts,"$81,215.00",+/- $429
Michigan,"$57,144.00",+/- $216
Minnesota,"$71,306.00",+/- $262
Mississippi,"$45,081.00",+/- $385
Missouri,"$55,461.00",+/- $294
Montana,"$54,970.00",+/- $606
Nebraska,"$61,439.00",+/- $416
Nevada,"$60,365.00",+/- $409
New Hampshire,"$76,768.00",+/- $728
New Jersey,"$82,545.00",+/- $400
New Mexico,"$49,754.00",+/- $430
New York,"$68,486.00",+/- $313
North Carolina,"$54,602.00",+/- $231
North Dakota,"$64,894.00",+/- $813
Ohio,"$56,602.00",+/- $213
Oklahoma,"$52,919.00",+/- $225
Oregon,"$62,818.00",+/- $304
Pennsylvania,"$61,744.00",+/- $189
Rhode Island,"$67,167.00",+/- $958
South Carolina,"$53,199.00",+/- $276
South Dakota,"$58,275.00",+/- $643
Tennessee,"$53,320.00",+/- $260
Texas,"$61,874.00",+/- $208
Utah,"$71,621.00",+/- $447
Vermont,"$61,973.00",+/- $662
Virginia,"$74,222.00",+/- $341
Washington,"$73,775.00",+/- $298
West Virginia,"$46,711.00",+/- $492
Wisconsin,"$61,747.00",+/- $204
Wyoming,"$64,049.00",+/- $707
Puerto Rico,"$20,539.00",+/- $185
